 	Area	Mean	Min	Max	X	Y	Perim.	
1	43	103.628	70	202	252.826	7.058	25.556	
2	5	81.400	70	91	35.300	5.900	7.657	
3	5	89	79	97	836.900	24.700	7.071	
4	4	81.500	73	88	786	25	5.657	
5	17	88.059	70	121	702.853	27.500	18.142	
6	38	78.316	70	94	234.816	32.447	32.627	
7	4	73.750	70	77	70	39	5.657	
8	8	77.125	73	85	232	39.500	10.485	
9	7	86	72	107	180.500	41.500	8.485	
10	44	107.091	70	185	831.455	45.091	30.385	
11	5	81.200	73	93	176.300	43.100	7.657	
12	55	93.418	70	148	505.227	46.718	29.556	
13	9	77.667	72	88	171.167	46.167	12.485	
14	5	74.800	70	78	251.700	43.900	7.657	
15	5	74.400	72	79	836.900	45.700	7.071	
16	9	76.667	70	88	724.611	50.722	11.071	
17	4	78.250	74	87	278	56	5.657	
18	8	80.375	70	97	733.250	56.750	10.485	
19	30	140.067	73	248	285.233	59.300	19.556	
20	11	93.545	70	128	732.409	63.500	12.485	
21	5	78.600	74	86	262.700	65.900	7.657	
22	4	73.250	72	74	826	66	5.657	
23	4	76	70	89	60.500	72	7.657	
24	5	74.200	70	80	91.700	73.900	7.657	
25	4	78.750	72	86	288	75.500	7.071	
26	25	74.920	70	85	474.820	79.820	27.799	
27	11	76.636	70	89	480.591	77.591	14.142	
28	6	75.667	70	88	267.333	84.333	8.485	
29	4	73.250	70	80	254	86.500	7.071	
30	42	131.190	70	235	307	94.690	24.142	
31	27	92.926	70	159	810.278	106.315	24.385	
32	9	73.667	70	81	134.278	107.944	13.899	
33	47	76.468	70	86	799.564	129.330	34.042	
34	5	75.200	70	78	788.300	124.100	7.657	
35	42	83.524	70	108	168.048	139.071	27.213	
36	23	76.435	70	89	796.978	138.065	26.627	
37	29	77.241	70	95	176.397	140.086	22.971	
38	5	78.800	70	91	260.100	138.300	7.657	
39	11	77.909	70	89	267.136	140.773	15.314	
40	4	78.500	74	81	196	140	5.657	
41	4	74	73	77	226	142	5.657	
42	8	87.125	70	101	229.625	142.750	10.485	
43	6	85.333	72	98	194.167	144.667	9.071	
44	11	74.545	70	84	363.591	147.500	13.314	
45	18	98.667	70	146	798.222	161.444	15.314	
46	18	81.944	72	99	792.167	165.556	16.142	
47	29	93.517	70	136	332.466	167.431	19.556	
48	10	79.600	73	92	809.500	172.700	11.071	
49	26	95.346	70	145	794.154	175.154	17.556	
50	6	75.167	70	84	469.333	177.500	10.485	
51	4	81.500	74	87	223	181	5.657	
52	4	80	73	91	520	182	5.657	
53	6	79.167	73	93	465.333	189.333	8.485	
54	4	77.500	73	84	348	192	5.657	
55	4	78.250	73	81	650	194	5.657	
56	5	72.600	70	78	188.500	201.500	8.485	
57	4	79.500	77	83	370	201	5.657	
58	5	76.200	72	83	531.500	206.500	8.485	
59	29	83.345	70	103	358.362	208.810	20.142	
60	4	74.750	72	81	193.500	207.750	7.657	
61	4	75.250	70	83	173.750	211.500	7.071	
62	7	76.714	70	81	161.500	214.500	8.485	
63	159	85.692	70	155	135.223	222.777	70.912	
64	8	78.125	72	85	109	220.750	12.728	
